  1056
    id          xc          yc          zc         gxc         gyc         gzc         vol                 R  mean_overdensity       ellipticity      inv_porosity
   180     36.1946   -603.4004    845.7955     31.6675   -616.6139    858.9468    98958.31           28.6938            0.4608          0.556498          0.626999
   181   -733.8020    552.9946    -67.0005   -726.2091    556.2737    -55.3949   104490.15           29.2188            0.3074          0.536866          0.561814
   182   -140.2046    222.5960    750.5959   -133.3252    231.1081    749.3394   176052.73           34.7684            0.3134          0.325378          0.639756
   183   -840.2015   -474.6010     72.9988   -818.6321   -480.6754     87.0407   400487.03           45.7264            0.2480          0.375476          0.546943
   184   -171.0045    527.7947    596.5966   -167.4199    525.9517    609.2291   288357.69           40.9840            0.3832          0.421815          0.488205
   185  -1111.8003   -186.2022     47.7990  -1111.7087   -202.5285     57.2152   249239.73           39.0400            0.2687          0.513291          0.524033
   186  -1036.2007   -407.4012    -41.8007  -1043.9667   -413.6046    -19.7033   283155.12           40.7360            0.2800          0.487016          0.650132
   187  -1095.0005   -343.0015     67.3989  -1097.2065   -353.0834     69.2003   218968.33           37.3908            0.2914          0.320003          0.583581
   188   -969.0010   -295.4017     19.7991   -971.8721   -273.5925      9.2164   373003.50           44.6555            0.2687          0.531921          0.509612
   189   -252.2041   -670.6001    453.7972   -256.9205   -643.4557    467.7664   335751.44           43.1165            0.3398          0.529083          0.394568
   190   -372.6036   -275.8018    492.9970   -359.5759   -255.5177    486.0070   262827.84           39.7369            0.2571          0.680215          0.538583
   191   -512.6030   -665.0001     78.5988   -503.8613   -658.7499     85.2355   157657.19           33.5126            0.2477          0.535032          0.575386
   192   -907.4012     29.3969     -8.2008   -899.1906     28.9307     -6.7398   188433.50           35.5650            0.2398          0.505300          0.767226
   193   -207.4043     85.3966    540.5968   -206.2209     94.1181    551.9068   218902.47           37.3870            0.2568          0.310221          0.659106
   194   -445.4033   -362.6014    660.9963   -457.6707   -360.8820    664.0504   125410.12           31.0514            0.2543          0.307490          0.720025
   195  -1092.2004   -480.2009     42.1990  -1093.8499   -486.4865     47.3349   261203.42           39.6549            0.2719          0.482882          0.613583
   196  -1069.8005   -320.6016    -81.0005  -1065.9269   -319.6004    -80.5751   148327.72           32.8381            0.2934          0.431439          0.696141
   197   -257.8041   -595.0004    355.7976   -246.9136   -612.5737    346.8804   237715.08           38.4287            0.3113          0.409562          0.495860
   198   -238.2042    116.1965    649.7963   -235.4103    117.2310    654.5953   115224.53           30.1869            0.2967          0.511376          0.634331
   199  -1123.0002   -203.0021   -109.0004  -1123.7445   -208.1386   -100.9487   124488.16           30.9751            0.2896          0.410481          0.687575
   200   -859.8015    466.1949     16.9991   -862.8793    475.4541      5.6880    88004.41           27.5934            0.4590          0.604889          0.596126
   201   -644.2024   -264.6019    803.7957   -636.7549   -273.0137    817.2477   367471.66           44.4336            0.2897          0.544856          0.404550
   202  -1142.6002    298.1957   -176.2001  -1142.0217    291.2292   -169.8388    78345.66           26.5446            0.3917          0.597189          0.696194
   203   -521.0029   -203.0021    380.9975   -525.6023   -214.2009    374.4815   159610.89           33.6505            0.2875          0.519483          0.632419
   204   -361.4036     57.3967   1159.3940   -355.8013     17.3028   1126.5237   358098.28           44.0526            0.3395          0.617012          0.489081
   205   -285.8040    188.9962   1120.1943   -291.8003    195.1591   1113.3088   110175.64           29.7394            0.3206          0.403975          0.705526
   206   -907.4012    502.5948    -25.0007   -883.7910    530.8912    -29.3422   224631.86           37.7104            0.3420          0.482192          0.413255
   207   -619.0025    614.5943    -36.2007   -616.3958    611.7988    -36.9902   343061.34           43.4271            0.2880          0.518831          0.619762
   208   -904.6013   -443.8011    -86.6005   -895.2236   -448.0066    -94.5508   158710.88           33.5871            0.3148          0.507639          0.649737
   209   -862.6014   -242.2020    -13.8008   -872.9507   -245.2185    -24.0331   161454.84           33.7796            0.2737          0.440618          0.742741
   210   -960.6010    -54.6028    -19.4008   -973.4269    -37.0444    -16.5424   401913.88           45.7806            0.2736          0.525001          0.589825
   211   -831.8016    127.3964    -16.6008   -837.3884    133.8115    -23.3052   155944.95           33.3909            0.2739          0.439426          0.658544
   212  -1179.0000    116.1965   -106.2004  -1169.0317    120.7368   -111.9538   128088.23           31.2709            0.3326          0.385513          0.701601
   213   -442.6033    -15.4030    691.7961   -416.8078     -4.8763    659.1145   304492.19           41.7346            0.3028          0.582170          0.494837
   214   -759.0019   -424.2012      0.1992   -759.9828   -425.9612      0.1222   160313.34           33.6998            0.2680          0.604533          0.607664
   215   -350.2037     96.5966    826.1956   -347.7426     97.6702    807.0930   215236.53           37.1771            0.3585          0.349298          0.510303
   216   -753.4019   -471.8010    543.3968   -738.6538   -463.7071    554.8026   194075.08           35.9165            0.2718          0.439904          0.627920
   217   -871.0014   -600.6004     78.5988   -865.9159   -601.4506     77.9107   138690.92           32.1110            0.2437          0.367472          0.744019
   218   -635.8024   -681.8000    638.5964   -626.4440   -651.1644    648.6708   379084.09           44.8968            0.2830          0.334771          0.406903
   219   -834.6016    236.5959     11.3991   -830.5419    234.9127     12.6685   451173.53           47.5793            0.2466          0.365384          0.531823
   220  -1078.2004    328.9955     19.7991  -1074.9509    331.6083     18.0726   164659.80           34.0016            0.2715          0.425795          0.682112
   221   -927.0012   -373.8014     42.1990   -927.2176   -349.6433     48.6432   189443.27           35.6284            0.2774          0.374853          0.516852
