  1602
    id          xc          yc          zc         gxc         gyc         gzc         vol                 R  mean_overdensity       ellipticity      inv_porosity
    69   -264.6019    662.1941    -40.6028   -260.0732    656.5459    -52.6164   360249.53           44.1406            0.2521          0.405957          0.606921
    70    -65.8027   -191.8022     54.5967    -67.8138   -192.1949     50.4167   203492.36           36.4883            0.2630          0.424934          0.556495
    71    -18.2029    253.3959     12.5969    -19.1786    241.3821    -35.2685   694618.00           54.9396            0.1796          0.569931          0.567086
    72    -60.2028   -147.0024     -7.0030    -58.4604   -148.1538     -6.9999   191243.31           35.7409            0.2371          0.317079          0.634845
    73    -82.6027    393.3953    149.7963    -91.7080    397.1308    143.3755   152783.91           33.1637            0.1789          0.383821          0.492086
    74     62.9967    258.9958     43.3968     60.4966    253.5890     48.0575   143586.14           32.4844            0.2592          0.533526          0.618921
    75   -177.8022   -681.8000   -110.6025   -173.0378   -674.1797   -104.7330    76874.89           26.3774            0.2311          0.348100          0.757025
    76   -326.2016    614.5943    -79.8027   -321.5739    609.8993    -71.3270   419409.41           46.4355            0.2194          0.247381          0.679218
    77     40.5968   -651.0002    -35.0029     61.6033   -652.0070    -30.5291   308553.25           41.9193            0.1925          0.347765          0.626388
    78   -648.2002   -390.6013     79.7966   -627.4634   -393.2494     85.8568   872734.19           59.2831            0.2133          0.414783          0.599180
    79   -387.8013    250.5959    242.1959   -387.8348    257.0199    228.7678   357549.47           44.0301            0.2301          0.395838          0.549959
    80   -435.4011     90.9966     46.1968   -423.2053    108.5579     22.6717   471808.12           48.2939            0.2179          0.479190          0.532884
    81   -219.8021    200.1961   -264.6019   -231.3987    204.0269   -243.5271   350459.06           43.7371            0.2429          0.512344          0.642138
    82    -77.0027    510.9948    113.3965    -79.9551    507.4881    112.0616   292221.19           41.1662            0.2090          0.440861          0.513001
    83   -219.8021    566.9945    135.7964   -227.3079    545.1637    139.7126   818689.06           58.0332            0.2060          0.417863          0.531006
    84    233.7960    205.7961   -172.2023    230.6205    206.1578   -180.4187   238066.31           38.4477            0.2352          0.362668          0.560706
    85    -88.2026   -681.8000   -110.6025    -88.8021   -674.9081   -104.8649   124949.14           31.0133            0.2297          0.281307          0.565656
    86    468.9949    155.3963   -166.6023    441.4451    160.2926   -160.5888   309738.66           41.9729            0.2519          0.308321          0.475886
    87    362.5954   -586.6005    -32.2029    366.7849   -590.0646    -28.9325   264079.09           39.7999            0.2423          0.338165          0.517322
    88     85.3966   -270.2018   -105.0026    100.3198   -275.3861   -110.9577   228451.47           37.9229            0.2675          0.334784          0.604068
    89   -379.4014   -256.2019     90.9966   -369.0159   -253.0358     97.5550   417302.03           46.3576            0.2177          0.206645          0.572950
    90    191.7961   -334.6016    -26.6029    200.8445   -334.2014     -4.7835   304733.66           41.7456            0.2184          0.410443          0.607918
    91    314.9956   -373.8014    -74.2027    332.8814   -366.1160    -85.9372   625316.44           53.0482            0.2199          0.405027          0.564099
    92    191.7961    216.9960    138.5964    186.5601    224.5130    115.0593   656422.06           53.9136            0.2008          0.269339          0.529958
    93    454.9950    659.3941    116.1965    441.5245    640.3972    113.6079   285174.69           40.8326            0.2154          0.467888          0.539415
    94   -152.6024     79.7966     32.1968   -166.5275     84.3778     37.7471   208738.83           36.7992            0.2460          0.598833          0.443886
    95     -9.8030     37.7968    102.1965    -10.7403     39.3998    106.4834   220548.84           37.4805            0.2564          0.265640          0.675636
    96   -329.0016   -292.6017    -68.6027   -344.9512   -279.0107    -58.5219   624043.25           53.0121            0.2295          0.395812          0.590364
    97    155.3963    197.3961     -1.4030    148.3946    197.2478      4.1752   325104.84           42.6558            0.2074          0.244462          0.644667
